x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328,x329,x330,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341,x342,x343,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354,x355,x356,x357,x358,x359,x360,x361,x362,x363,x364,x365,x366,x367,x368,x369,x370,x371,x372,x373,x374,x375,x376,x377,x378,x379,x380,x381,x382,x383,x384,x385
LYZ,0,0,0,1,1,3,1,0,1,1,38,0,2,68,2,1,0,2,0,0,1,1,0,3,75,36,2,0,1,0,0,0,0,0,55,98,0,1,39,1,28,2,38,0,1,0,0,1,0,33,0,94,76,1,0,1,0,48,2,0,0,1,0,98,2,0,184,0,1,0,33,0,163,171,1,42,2,0,10,1,21,0,1,12,2,94,71,7,1,0,0,3,1,0,2,0,56,60,0,91,49,1,0,1,0,1,0,0,0,24,98,0,2,0,23,0,37,2,1,3,1,1,1,0,0,1,0,0,208,1,0,80,45,1,1,1,0,36,50,15,0,2,1,1,0,0,89,0,1,0,113,35,0,1,0,2,163,2,0,3,0,0,37,31,1,41,1,0,3,0,75,0,1,1,0,48,0,25,0,0,0,0,45,1,0,18,0,0,1,0,0,87,39,3,1,0,133,1,24,86,0,0,1,1,0,0,0,1,169,0,0,100,1,0,1,2,0,0,0,39,50,26,0,0,88,0,0,1,45,32,1,1,0,2,0,1,0,0,0,0,44,2,0,2,88,56,3,36,1,1,26,0,0,3,0,0,0,1,0,36,76,1,0,1,3,94,0,0,69,0,43,1,1,2,1,3,2,7,0,43,0,1,0,0,0,1,0,1,27,0,0,1,1,3,1,0,0,1,76,0,45,0,0,1,3,69,0,1,6,0,34,0,0,50,25,2,1,41,0,46,6,0,2,2,1,106,1,1,0,83,2,0,3,1,94,2,133,0,0,0,44,0,0,0,0,0,0,0,1,1,1,0,1,18,22,30,1,41,40,0,2,59,78,2,0,1,31,0,1,0,2,0,45,1,1,0,0,0,0,39,7,0,57,0
S100A9,2,3,0,1,3,3,1,0,2,0,12,1,1,125,0,3,0,1,1,0,4,0,1,0,30,26,1,1,0,2,0,0,1,1,43,9,1,1,9,1,20,1,40,0,1,3,1,0,1,89,1,36,110,0,3,1,1,126,0,0,3,0,1,4,2,0,45,1,3,0,47,0,181,44,3,60,1,1,2,1,4,1,2,0,2,17,63,3,0,1,3,2,1,0,1,1,42,9,1,51,62,1,0,1,1,0,1,0,3,3,121,1,3,0,4,1,50,0,2,2,2,0,1,0,1,1,0,1,87,2,0,31,89,1,0,0,0,20,30,8,1,3,1,3,1,2,54,1,0,1,81,36,3,1,1,1,181,1,0,3,1,0,63,45,0,9,0,1,4,2,83,1,1,2,0,148,1,62,1,0,0,2,45,0,2,32,1,1,1,0,2,53,44,3,0,0,26,6,19,10,0,2,2,3,0,1,1,0,25,1,0,205,0,0,0,0,2,2,1,6,48,31,3,0,59,2,2,2,82,13,0,2,0,5,1,1,0,0,0,2,33,3,1,0,113,25,2,17,1,1,41,0,1,1,1,0,1,0,1,26,19,1,1,0,0,10,3,1,75,1,85,1,1,1,1,0,2,4,3,52,1,1,0,0,1,1,3,2,38,2,1,3,2,5,1,0,0,0,19,1,82,3,1,0,0,110,0,0,5,0,32,0,0,48,43,0,0,51,0,29,9,1,2,0,1,121,1,1,0,51,2,0,2,0,108,2,26,0,0,2,16,0,1,1,1,1,0,0,0,0,2,1,0,32,36,19,1,51,16,0,0,60,20,0,0,1,32,1,2,0,1,1,45,0,2,0,2,0,0,38,34,2,41,1
S100A8,1,0,0,0,0,0,1,0,1,2,9,2,1,109,0,2,0,0,0,0,0,1,0,1,22,29,1,0,0,4,0,0,1,0,29,1,1,0,6,0,25,1,40,0,1,0,1,0,0,78,1,16,112,0,0,0,1,82,1,1,0,0,2,4,3,0,11,0,1,1,22,2,80,22,0,43,2,2,2,2,8,0,2,2,2,7,51,3,0,2,0,1,0,0,0,1,38,8,0,49,59,0,1,1,2,0,0,1,0,7,136,0,0,0,10,0,45,0,2,0,4,0,1,0,1,1,0,2,45,0,1,28,63,0,0,1,0,17,10,16,0,1,0,1,1,0,51,2,1,0,62,27,1,1,2,0,80,0,1,2,0,1,54,76,0,9,1,0,2,0,87,0,1,1,1,163,1,44,3,0,0,0,49,2,2,36,2,0,0,0,2,53,21,1,1,1,5,0,15,2,3,0,2,2,1,0,2,2,16,1,1,175,0,1,0,1,1,0,0,6,36,29,0,0,26,1,0,1,76,4,0,0,2,4,0,0,0,0,0,0,32,0,1,0,94,19,1,12,0,4,62,0,2,0,1,0,1,1,1,20,14,0,0,0,2,5,2,1,54,2,93,0,3,1,0,3,0,3,0,32,1,0,0,1,1,0,0,1,45,0,0,0,0,2,1,0,1,2,14,0,76,1,1,2,1,103,3,0,0,0,38,0,0,14,30,1,0,76,2,21,4,0,2,0,1,64,0,0,0,30,0,0,1,0,99,0,5,0,1,1,7,0,0,0,0,0,1,0,0,3,0,0,0,42,31,12,0,76,11,0,0,68,14,1,0,0,24,0,0,0,1,2,49,0,1,1,0,1,0,35,54,0,50,1
HLA.DRA,1,1,2,0,25,0,6,0,25,20,15,0,0,3,0,0,0,1,1,0,3,2,1,1,31,6,1,0,0,18,17,0,0,0,22,172,0,14,26,0,9,0,5,0,0,0,2,1,0,6,1,48,15,0,4,1,2,3,17,0,1,1,0,169,1,0,215,2,26,2,20,11,5,187,2,6,2,1,0,12,15,0,1,20,1,40,17,49,2,1,1,1,0,0,3,8,31,9,0,30,13,0,1,0,0,0,0,1,16,15,11,1,2,2,18,1,7,2,1,0,41,1,1,1,17,1,0,0,71,0,2,68,5,1,1,25,2,10,30,10,0,2,0,0,40,0,10,0,25,0,49,4,1,0,1,1,5,0,0,85,0,0,10,4,1,21,0,1,24,0,32,23,0,21,36,11,17,4,22,0,16,1,18,0,31,5,28,23,0,0,31,23,10,1,0,0,131,83,10,102,0,30,1,0,0,0,2,1,119,0,0,11,0,0,0,1,0,12,24,26,9,2,0,1,24,1,29,0,3,156,2,10,1,21,0,27,1,0,2,0,35,0,1,0,4,14,20,29,2,33,7,0,11,1,1,14,0,1,1,6,26,1,2,0,1,212,1,0,30,20,4,1,0,27,1,0,1,29,1,19,0,21,0,1,0,0,1,0,4,0,0,0,27,0,0,0,1,0,26,0,3,1,0,0,1,4,0,0,20,8,15,8,0,86,6,2,15,4,0,25,19,0,20,0,2,61,21,0,0,13,30,4,20,0,29,49,131,17,1,0,56,0,0,1,2,1,23,16,1,1,0,0,2,2,11,17,0,4,53,0,0,7,51,0,0,2,10,0,0,1,0,1,18,1,0,1,0,3,3,13,2,3,4,2
CD74,3,6,2,3,68,2,13,2,72,41,13,4,4,5,4,5,0,2,4,0,4,8,2,6,49,2,8,3,6,17,50,1,3,1,26,219,1,46,15,1,4,2,2,1,5,5,6,2,1,7,3,58,14,5,0,2,3,5,55,3,1,3,4,318,1,2,298,3,35,3,25,40,10,202,4,1,3,2,1,51,25,0,3,22,7,27,24,161,0,1,3,2,0,4,1,39,20,3,1,29,1,1,1,5,2,2,1,5,45,10,16,7,3,4,43,3,14,7,2,2,110,4,2,7,47,3,2,2,60,1,2,93,2,2,1,47,3,7,52,5,2,4,1,7,74,4,12,1,60,7,40,10,0,1,2,4,10,1,3,129,1,1,8,4,5,20,1,1,34,1,25,58,1,45,59,6,47,9,73,2,39,1,26,2,64,5,73,28,0,4,64,23,10,1,0,2,287,115,11,161,2,66,3,5,1,1,2,2,144,2,2,13,3,5,5,2,2,37,66,16,30,3,2,3,33,6,52,0,3,177,0,59,0,29,3,46,2,0,2,3,62,4,7,2,10,20,71,17,2,79,1,3,48,1,3,55,1,1,2,10,36,0,5,3,3,260,4,2,33,36,4,0,4,58,5,1,1,41,2,51,1,91,4,1,2,1,3,3,4,1,2,0,63,3,2,4,8,0,36,2,3,3,2,6,1,5,2,1,36,49,5,47,2,128,6,2,30,3,6,22,99,2,39,0,4,56,60,3,3,6,103,1,71,0,30,129,287,44,1,5,47,5,1,0,2,0,46,39,1,3,1,3,1,0,0,15,0,3,61,4,2,10,80,8,3,2,5,1,2,1,0,2,26,0,1,0,1,3,2,11,0,13,5,0
CST3,0,1,1,0,0,0,0,1,0,1,11,3,0,22,1,0,0,2,1,1,0,0,0,1,35,4,1,1,1,0,0,0,0,0,21,94,0,1,21,1,13,0,4,1,0,2,0,1,0,4,0,47,32,0,2,0,0,13,1,0,0,1,0,97,0,1,101,1,0,0,19,0,15,76,1,7,0,0,1,0,14,1,1,20,2,16,11,5,0,0,0,2,0,0,1,0,18,12,1,25,14,1,0,0,1,1,1,0,41,10,20,1,1,1,15,1,6,0,1,0,25,2,1,2,0,0,1,1,31,1,1,46,18,0,2,0,2,13,46,4,1,1,1,0,2,0,9,0,0,0,21,12,1,1,0,2,15,0,0,2,0,1,11,6,1,13,0,0,9,0,16,0,0,1,1,20,0,14,16,0,1,1,15,0,0,6,0,1,1,0,0,17,17,1,1,0,118,1,11,49,2,0,3,0,1,0,2,0,70,0,0,22,1,0,1,0,1,0,0,28,25,11,0,0,25,0,0,1,7,115,1,0,2,4,0,0,1,1,0,0,30,0,0,1,12,9,0,23,0,0,9,0,0,0,0,0,0,0,0,6,19,0,3,0,0,92,0,0,17,0,6,0,0,1,0,1,0,24,0,27,0,38,0,1,2,0,0,0,9,0,0,1,0,0,1,1,4,0,19,0,7,1,0,0,1,10,2,0,41,0,8,9,1,73,4,0,0,8,1,25,15,0,1,0,1,46,0,0,0,8,11,0,0,0,39,2,118,0,1,0,42,0,0,0,0,0,0,1,0,2,1,0,1,3,8,14,0,8,46,1,0,21,39,0,0,0,18,0,0,0,1,0,15,0,0,1,0,1,0,7,3,0,10,0
TYROBP,0,7,0,0,0,0,1,12,1,1,5,1,0,11,2,1,1,0,5,0,1,2,0,0,30,8,0,1,3,0,0,0,0,1,32,19,0,0,8,0,4,0,13,1,0,0,0,3,7,14,1,29,22,2,2,0,0,12,2,0,0,0,0,2,2,0,21,0,1,0,18,0,26,27,1,5,3,0,0,0,5,0,1,25,0,25,15,5,2,0,2,0,0,0,1,1,27,13,0,37,12,0,0,0,0,0,0,0,9,8,18,3,0,0,8,3,5,0,0,0,11,5,0,1,1,1,1,0,24,0,0,13,18,1,1,0,0,14,30,3,1,0,0,1,0,0,17,0,0,0,22,3,0,0,0,0,26,0,1,3,0,0,17,5,0,16,0,0,16,0,15,0,0,1,0,19,1,20,11,0,0,0,15,0,0,8,0,0,0,0,0,16,13,0,0,1,20,0,17,11,1,1,0,1,0,0,1,1,20,1,1,14,0,0,2,0,0,0,0,9,13,14,1,0,26,0,0,1,8,20,0,0,1,0,0,0,1,0,0,2,29,0,5,0,5,9,0,12,6,0,9,1,0,0,0,0,0,0,0,11,29,0,1,0,1,18,0,0,22,1,15,0,2,0,1,11,0,24,0,27,0,7,0,0,0,1,2,0,7,1,0,0,1,0,0,0,0,0,29,0,8,7,1,6,1,19,1,0,22,0,19,5,0,20,4,0,0,9,0,18,12,1,2,0,1,28,0,0,0,13,5,1,0,0,11,0,20,0,0,1,26,0,1,0,0,0,0,0,1,1,0,12,1,11,14,12,0,9,36,1,0,23,34,0,0,0,4,1,1,0,0,0,15,0,0,0,0,0,0,7,8,0,7,0
S100A4,8,5,4,4,1,8,10,9,2,1,11,2,3,27,9,7,7,5,0,1,19,6,1,9,23,3,10,1,7,2,4,1,11,0,20,40,2,1,23,0,15,12,9,11,24,0,12,3,6,27,0,42,30,11,3,1,26,14,3,0,1,4,7,45,19,0,55,2,1,6,17,2,33,44,3,14,2,12,21,1,7,3,0,30,1,12,22,6,13,1,6,2,2,2,1,3,22,11,1,22,16,5,1,17,4,26,1,15,6,9,37,6,3,3,23,4,22,2,7,17,9,4,1,11,2,7,8,4,30,1,0,36,34,1,10,1,9,24,27,10,1,0,3,12,14,10,23,3,0,8,22,18,0,2,1,13,33,3,2,16,6,5,13,24,7,16,0,0,49,2,22,1,0,1,3,25,2,19,4,1,0,4,23,12,1,20,2,0,0,4,1,35,19,2,2,0,57,18,20,40,14,0,23,7,1,1,6,1,61,2,6,36,0,2,2,1,0,1,1,22,23,20,4,1,23,0,1,0,19,51,0,1,2,11,11,3,3,0,1,19,35,1,11,0,23,16,2,22,10,2,17,1,2,2,20,2,3,31,2,11,21,1,11,1,16,83,0,4,20,1,20,1,5,1,23,8,0,42,2,28,2,10,4,5,7,11,2,4,9,2,6,6,2,3,0,9,3,5,21,0,19,10,1,6,17,14,14,2,40,1,18,2,0,40,15,1,2,11,9,32,11,2,79,2,8,46,0,5,0,24,3,3,2,0,31,6,57,0,0,2,19,9,0,2,6,0,0,0,1,14,7,7,3,8,14,27,2,11,15,1,9,24,28,2,0,3,15,0,5,2,1,1,23,2,1,4,0,0,27,12,5,10,16,3
NA.,2,0,0,0,16,0,0,0,31,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,40,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,15,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,0,0,1,0,0,19,0,0,0,0,0,4,0,0,0,8,0,0,1,1,1,1,0,0,0,0,62,0,0,1,0,2,0,0,1,104,0,0,0,29,0,1,0,1,1,0,0,1,0,0,363,0,1,0,0,0,0,0,0,1,0,0,0,0,14,79,2,8,0,26,0,1,0,13,0,0,0,0,28,0,0,0,0,0,0,0,0,21,0,0,0,0,41,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,55,16,0,0,0,0,1,1,0,4,0,0,0,0,60,1,1,0,1,0,0,0,0,0,0,0,0,1,1,23,1,1,0,0,0,51,0,0,29,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,19,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,35,0,4,0,0,0,0,0,0,0,0,8,0,0,0,1,1,27,0,0,0,13,0,23,1,0,155,21,0,0,0,0,1,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,4,0,1,0,0
FTL,9,7,7,9,22,12,13,1,10,4,66,9,4,51,4,8,3,2,6,3,8,20,6,12,114,47,9,10,4,5,10,1,17,11,84,38,4,6,56,12,42,5,57,4,6,6,7,4,6,63,10,101,88,4,13,13,13,56,15,6,5,10,8,45,9,14,42,6,9,6,92,8,121,88,9,71,4,12,15,1,32,7,3,122,8,105,71,28,6,8,17,7,6,6,9,5,87,33,5,102,41,5,9,10,8,6,14,5,16,63,103,5,12,12,91,11,31,4,15,3,18,0,8,4,8,7,12,8,117,6,2,51,57,12,11,10,8,57,172,42,12,7,6,13,20,2,63,8,14,17,149,29,10,5,11,8,121,7,3,10,7,1,43,41,9,65,6,8,152,3,124,10,4,10,19,82,8,59,9,5,8,6,114,12,8,35,7,5,5,8,8,88,77,5,2,10,58,11,66,33,5,13,5,8,11,2,8,4,27,6,10,100,8,21,6,8,12,7,5,61,71,31,5,5,75,6,3,6,65,43,4,3,3,27,5,8,5,5,4,15,190,12,4,9,71,62,14,103,9,12,27,5,2,9,8,4,2,9,9,23,84,5,16,9,11,47,4,8,78,9,65,5,9,2,16,8,5,82,14,109,4,13,8,5,7,7,5,14,46,12,4,10,27,10,12,5,8,11,84,9,65,11,7,5,11,58,5,4,198,5,58,7,14,42,28,4,7,35,12,110,23,12,25,9,5,97,9,13,14,61,7,12,14,2,63,20,58,10,3,6,171,11,8,13,7,9,7,8,7,12,15,6,5,24,40,73,10,35,257,3,9,72,135,12,4,12,51,7,14,14,7,11,114,4,7,11,10,5,8,42,47,5,27,7
