x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328,x329,x330,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341,x342,x343,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354,x355,x356,x357,x358,x359,x360,x361,x362,x363,x364,x365,x366,x367,x368,x369,x370,x371,x372,x373,x374,x375,x376,x377,x378,x379,x380,x381,x382,x383,x384,x385
LYZ,7,2,0,28,1,2,0,60,2,0,2,0,0,79,0,138,1,0,0,0,2,0,1,35,1,2,1,1,0,2,2,45,0,51,78,0,0,1,21,0,2,1,0,97,0,53,29,0,93,16,2,0,0,41,3,1,1,1,0,0,0,1,1,0,25,1,0,14,62,52,3,0,22,3,1,1,4,1,1,0,1,74,1,54,14,1,0,0,0,2,0,50,1,1,0,0,83,0,7,0,0,0,1,1,1,66,0,0,0,0,38,0,0,0,2,2,0,72,59,0,1,5,0,0,3,1,1,4,1,0,0,3,1,0,0,39,17,1,1,0,76,1,0,1,0,21,36,0,2,109,38,58,1,0,2,1,103,60,1,90,0,1,1,1,1,22,0,1,0,0,12,0,2,0,0,1,0,47,1,2,0,62,2,1,118,0,1,86,60,1,1,0,48,55,0,70,1,34,0,0,38,1,1,1,34,1,1,2,1,23,0,1,0,1,0,2,1,0,89,1,0,0,1,1,0,0,1,0,0,2,1,1,24,1,0,1,106,0,17,0,0,3,0,1,0,2,1,2,1,2,0,1,0,3,38,70,21,1,0,94,0,0,3,18,0,44,51,0,0,41,67,1,1,90,1,1,40,0,1,0,0,1,60,46,0,0,0,0,2,38,0,0,1,1,1,41,23,16,1,1,0,1,1,49,3,0,31,10,33,2,0,4,1,1,0,1,0,1,0,0,1,25,1,0,0,1,0,90,1,148,1,83,0,3,1,6,0,100,1,105,0,3,1,0,1,0,0,0,0,0,94,0,0,1,1,0,72,1,2,3,60,38,0,8,1,1,0,0,32,1,0,1,2,62,0,0,125,0,1,1,1,0,1,0
S100A9,4,0,1,35,2,0,1,28,2,1,0,2,1,7,1,40,0,0,1,1,1,0,2,26,4,1,1,3,2,1,0,23,0,2,47,1,1,2,42,2,0,1,2,2,0,22,23,4,58,45,1,4,0,45,3,2,0,0,0,0,1,1,0,1,34,0,0,9,23,17,1,1,37,0,0,0,0,2,1,0,0,72,1,35,13,2,0,0,1,1,4,36,3,1,0,0,33,0,13,1,2,0,2,2,0,13,1,1,2,0,61,2,3,1,1,1,2,48,68,0,1,3,0,0,0,4,2,1,1,0,1,1,1,1,0,51,3,3,0,0,42,0,0,1,2,4,49,1,0,238,41,17,2,3,1,1,3,37,2,140,0,1,2,4,1,13,1,0,0,0,12,1,0,1,2,2,2,91,2,0,1,34,1,1,145,0,0,58,36,2,1,0,117,78,1,49,0,14,1,0,41,1,0,0,70,1,2,3,1,5,3,0,0,3,1,1,1,1,112,3,0,1,0,1,0,1,1,0,2,1,3,0,10,0,0,0,30,0,1,0,1,3,0,1,2,1,1,2,1,3,0,2,0,1,68,25,27,0,2,36,2,1,1,22,0,8,77,2,0,47,71,0,1,2,0,0,31,1,3,1,0,0,23,68,0,0,0,0,1,65,0,2,2,2,0,68,32,4,0,0,1,1,0,58,2,5,2,3,20,2,0,2,3,0,0,0,1,2,1,1,1,48,0,1,0,1,0,92,0,279,0,81,1,2,3,2,0,205,0,48,1,1,2,1,2,1,1,3,0,1,10,0,3,0,2,0,58,2,0,3,23,28,4,6,1,1,1,0,77,1,0,0,0,115,2,0,25,1,0,0,3,0,1,3
S100A8,3,0,2,32,2,0,0,30,0,1,1,2,0,5,0,35,0,1,0,0,1,0,1,21,3,0,0,0,0,2,0,18,2,1,34,0,0,2,53,0,0,2,0,1,0,14,33,0,40,55,2,0,2,44,0,1,0,0,1,0,2,1,1,0,20,2,0,2,5,6,0,0,46,2,1,0,0,2,1,1,0,77,0,30,14,0,0,0,1,0,2,22,2,0,1,0,6,0,16,0,0,0,0,1,1,10,1,0,1,2,60,0,0,0,1,0,3,36,33,0,0,0,0,1,1,0,0,3,1,0,2,2,0,0,0,52,3,1,2,0,38,1,0,1,0,8,31,1,1,186,56,9,0,0,0,0,1,23,1,129,0,1,0,0,0,12,3,0,1,2,3,1,1,1,0,1,1,77,0,0,1,19,0,0,119,0,1,54,20,0,1,0,89,50,2,30,1,3,1,1,56,0,0,2,64,1,0,0,0,5,0,0,1,0,0,0,3,1,86,1,2,2,0,2,1,0,0,3,1,1,2,0,11,4,0,1,17,0,3,0,0,2,2,1,1,2,0,2,1,1,0,0,0,1,74,7,37,0,0,16,0,0,1,12,1,15,70,0,1,38,55,0,0,5,1,0,19,0,2,0,1,0,29,54,0,0,1,0,2,42,0,0,0,0,2,45,36,2,0,0,1,2,2,35,2,0,3,0,21,0,0,0,0,0,0,2,2,1,1,0,0,40,2,1,2,1,0,121,0,193,0,42,1,0,0,2,0,175,0,34,0,1,0,1,1,1,0,0,0,1,5,0,3,1,1,0,43,0,0,0,29,18,1,1,0,1,0,0,69,1,0,0,1,83,1,2,47,0,0,0,0,1,0,1
HLA.DRA,29,0,1,7,2,1,1,32,2,35,10,31,18,53,0,143,0,1,1,0,0,0,3,3,1,2,0,1,0,4,1,17,0,73,27,0,0,0,2,30,0,1,0,135,1,32,17,3,34,1,23,44,13,6,0,0,0,0,0,0,0,0,1,0,10,1,28,13,18,11,1,0,3,0,0,1,2,0,2,0,16,19,0,12,10,0,0,24,0,2,4,25,0,0,2,1,78,28,2,0,3,0,0,0,2,12,1,3,1,1,7,2,1,1,0,0,3,6,12,0,0,11,1,0,1,2,35,4,0,29,1,3,12,3,1,14,38,22,0,0,10,1,0,0,2,15,11,0,0,5,14,37,22,0,31,18,72,4,0,14,0,0,0,0,0,33,1,40,1,1,8,8,22,2,0,25,4,3,33,0,0,48,0,1,10,0,1,4,35,0,0,0,10,19,0,25,3,44,2,0,14,1,1,1,3,0,0,17,0,14,14,0,19,1,2,2,1,0,16,1,0,1,20,21,2,3,0,0,1,0,1,0,11,1,0,0,43,1,14,1,1,0,1,2,28,0,11,0,0,2,2,4,0,0,10,113,6,2,1,48,15,2,2,18,3,17,14,0,1,4,20,1,3,283,1,0,10,0,0,26,2,0,6,18,0,2,1,0,1,7,1,0,3,4,0,16,3,48,31,21,0,3,0,9,2,0,66,15,9,2,1,0,38,1,2,21,1,1,1,0,1,10,1,2,0,0,1,7,0,3,0,38,1,8,1,95,2,11,1,13,0,0,0,0,16,3,1,1,1,0,212,17,2,0,17,0,29,0,0,0,6,17,0,17,21,0,1,15,2,0,1,2,0,5,24,3,28,1,1,0,28,0,0,15
CD74,41,0,6,5,4,0,4,5,3,41,30,64,28,94,1,210,1,3,1,1,2,0,3,7,3,14,0,1,0,0,1,15,2,127,29,1,0,2,2,66,0,1,2,234,0,36,6,5,25,2,57,81,52,12,2,0,0,1,3,4,4,3,0,4,13,4,71,8,28,14,1,9,3,2,2,4,4,4,8,0,49,7,5,9,9,2,0,58,2,1,18,16,5,4,4,1,121,56,8,1,13,0,1,3,2,10,7,1,6,1,8,1,3,3,2,3,13,9,10,2,2,26,2,3,6,3,111,6,3,53,5,10,49,11,2,16,48,31,2,0,8,1,1,2,3,25,11,1,1,9,3,30,44,2,56,41,174,3,6,22,0,1,0,2,0,24,1,40,0,0,13,39,43,0,1,72,8,1,61,2,0,37,2,0,17,1,0,0,23,6,5,1,6,19,2,29,4,81,3,2,3,6,1,2,6,1,4,64,7,20,51,1,64,5,8,2,4,5,11,0,2,2,47,53,0,2,1,5,1,2,4,5,7,5,0,3,61,2,28,6,1,4,6,1,50,2,40,5,5,4,3,4,1,0,8,118,5,4,1,58,33,3,5,20,1,18,6,2,2,2,15,1,11,316,4,3,8,2,2,37,5,0,3,12,1,1,0,1,2,5,2,3,2,4,13,14,2,104,81,24,0,4,4,11,1,4,73,34,5,3,1,2,70,4,1,44,2,2,1,0,2,6,4,0,2,2,2,13,3,9,6,63,3,44,3,100,1,13,3,7,1,0,5,1,27,6,2,4,8,2,260,59,0,1,40,3,7,4,4,2,3,14,2,21,41,1,0,42,1,2,3,0,3,10,63,7,8,0,2,1,58,2,10,30
CST3,24,1,0,8,0,2,0,13,1,1,0,0,0,36,0,84,1,1,0,0,1,1,1,4,0,0,0,0,0,1,1,26,0,33,19,0,0,0,5,0,0,2,1,113,0,30,18,2,16,6,1,0,0,5,0,4,0,0,0,0,3,2,1,1,10,0,0,20,24,11,0,0,10,2,0,1,0,0,2,0,1,18,2,17,8,0,0,1,0,0,0,20,0,0,1,1,59,2,8,0,0,0,0,0,0,17,0,0,0,1,10,1,0,0,0,0,0,7,18,1,0,22,0,2,1,2,13,15,1,0,0,2,0,0,0,18,21,0,1,1,15,0,1,1,1,14,14,0,0,11,12,15,0,1,0,1,82,4,1,18,1,0,1,0,0,21,0,0,1,0,33,0,0,0,0,0,1,5,1,0,3,30,0,0,37,0,0,10,13,1,1,2,11,24,0,24,0,74,0,0,12,0,0,0,10,1,1,0,0,18,1,2,0,1,0,0,4,1,8,0,1,0,1,1,0,1,1,0,0,1,1,2,6,1,0,2,51,0,20,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,7,67,2,2,0,47,1,1,0,16,2,13,9,0,1,11,28,1,2,102,0,0,25,1,1,1,0,0,12,23,0,0,0,2,2,11,0,1,1,0,0,12,8,45,0,0,0,0,1,12,0,0,68,23,3,1,0,1,1,0,0,0,0,0,0,0,0,10,0,0,1,0,0,15,0,21,2,41,1,2,0,3,2,22,1,20,1,0,0,0,3,1,4,0,0,0,92,0,0,0,0,1,20,0,0,0,12,15,0,31,1,0,1,2,12,0,1,0,0,13,0,0,10,0,0,0,0,0,1,0
TYROBP,24,0,0,16,0,1,0,10,0,0,0,0,0,7,0,26,0,0,0,1,1,0,0,6,2,2,0,0,1,0,0,9,0,9,17,0,0,0,6,1,0,1,6,31,0,11,10,0,19,5,0,0,1,11,0,0,0,0,4,0,1,0,0,0,10,2,1,12,14,15,0,1,6,1,1,0,1,0,0,0,1,16,1,30,12,3,1,0,0,1,0,13,1,1,0,0,26,0,6,0,0,0,0,0,0,11,5,0,0,1,15,3,2,0,0,0,0,11,22,0,1,20,5,0,0,3,10,12,0,1,0,1,0,1,0,27,21,0,0,0,18,0,0,0,2,5,10,0,1,12,9,15,0,1,0,0,0,11,0,21,0,0,0,0,0,20,0,0,0,0,11,1,1,0,0,1,0,9,0,0,1,27,0,0,26,0,0,10,22,0,7,0,20,20,1,16,1,52,0,0,9,1,1,0,10,0,1,0,0,24,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,1,26,1,21,0,0,9,0,0,0,1,0,0,0,0,7,1,0,0,10,13,10,0,0,29,0,0,0,22,0,7,14,2,0,13,31,0,0,17,0,0,20,0,0,1,0,0,15,19,0,0,0,0,0,12,0,0,0,1,1,20,5,31,0,0,0,0,0,18,0,1,34,30,3,0,0,0,0,1,0,0,0,1,1,0,3,11,2,0,0,0,0,14,0,15,0,16,1,0,0,0,0,14,0,8,0,0,0,0,0,0,0,2,0,0,18,0,0,1,0,1,23,0,0,0,15,19,0,21,0,7,0,1,9,0,0,2,0,19,2,1,16,0,9,4,0,1,0,1
S100A4,42,1,4,17,5,5,5,11,5,0,1,1,1,23,11,48,3,14,1,1,1,5,4,6,7,8,1,3,1,4,8,23,2,15,38,16,4,0,13,0,1,8,0,29,2,21,17,2,18,10,2,4,0,11,8,2,5,5,2,1,2,6,3,0,14,26,0,15,10,10,2,12,11,6,1,0,2,3,7,0,2,24,12,22,21,9,1,0,3,0,2,24,7,14,8,0,36,2,15,6,10,11,2,4,8,18,11,0,0,11,15,1,2,2,10,8,11,12,17,10,0,60,17,2,9,19,14,41,11,1,11,37,5,24,7,24,51,0,1,1,19,1,1,1,12,7,15,0,4,35,16,22,4,0,2,0,2,21,1,27,3,0,0,2,2,16,11,4,4,0,37,3,2,3,16,2,18,17,2,5,0,23,0,0,42,9,7,23,17,2,5,11,24,39,1,24,2,71,26,14,16,16,6,9,17,2,11,5,2,27,2,4,0,1,4,24,8,1,35,2,20,1,0,0,1,9,0,7,0,1,5,23,5,5,0,2,35,2,41,11,14,7,1,11,0,1,0,6,17,0,1,1,9,11,21,83,7,11,1,42,0,2,12,17,10,8,27,7,15,15,25,8,16,43,1,2,16,5,15,1,4,5,9,26,0,2,0,11,18,17,4,4,14,1,5,16,7,42,2,2,1,1,12,12,33,12,48,45,12,5,0,1,2,0,2,0,1,3,0,4,3,13,26,1,20,4,2,16,0,36,4,46,9,2,3,13,1,36,4,25,6,11,1,2,0,7,2,8,6,2,83,0,2,0,0,2,16,3,0,8,9,25,1,62,0,6,1,0,10,0,6,13,2,32,0,5,16,4,2,0,3,7,3,0
NA.,0,0,1,0,0,1,1,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,41,0,0,0,1,0,1,0,0,1,0,26,58,21,0,0,0,0,0,0,0,0,0,0,0,1,2,34,0,0,2,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,15,0,0,0,0,1,47,0,0,0,0,73,0,0,0,0,0,0,1,0,0,0,0,0,0,1,26,1,24,66,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26,0,79,0,2,0,0,0,0,0,0,0,39,51,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,15,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,47,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,68,0,1,0,0,1,0,2,0,0,0,0,1,1,1,0,1,2,22,0,1,0,0,0,2,0,1,0,0,40,0,0,0,0,0,1,28,0,0,17,0,0,1,0,0,0,0,0,0,16,0,0,44,0,0,0,0,0,0,0,1,0,0,0,0,54,1,0,33
FTL,82,8,7,62,5,4,4,54,3,14,9,8,5,15,10,66,7,13,5,10,9,2,7,37,8,7,6,6,12,18,12,84,5,10,84,9,4,4,35,13,5,12,3,34,2,87,50,10,122,38,14,14,15,67,12,19,4,8,6,13,9,4,11,7,46,17,6,108,103,49,9,4,39,11,5,5,7,11,5,6,15,76,6,82,50,4,10,8,3,5,9,77,8,3,10,4,45,12,44,7,5,1,7,4,7,63,4,4,6,10,57,6,5,14,4,10,10,50,127,8,8,129,2,12,12,6,18,95,7,13,3,8,15,8,6,79,157,8,8,6,62,7,0,2,17,32,61,7,7,89,57,86,7,1,4,10,29,51,7,98,3,4,4,10,6,77,6,9,11,3,84,5,11,7,9,10,20,36,9,8,11,82,10,3,105,1,3,74,78,11,11,7,53,71,11,89,10,279,13,9,57,6,3,10,58,5,14,9,6,128,12,4,9,10,1,9,11,4,86,2,7,11,6,14,10,9,6,6,7,9,11,16,36,17,4,13,84,7,117,9,3,8,5,11,13,6,4,10,10,7,3,5,7,5,60,33,42,9,8,101,11,6,13,76,7,42,62,3,10,71,86,9,8,58,3,6,72,4,5,11,6,4,28,73,4,9,3,7,16,61,9,8,11,5,4,88,37,420,15,3,10,8,7,88,13,16,141,142,43,3,5,5,13,5,9,12,11,14,3,4,9,53,17,6,7,13,9,63,2,114,7,114,5,20,6,11,6,100,10,72,7,5,10,4,10,2,7,11,7,14,47,4,5,2,4,5,76,9,3,12,28,72,0,190,9,3,6,10,51,9,3,6,7,90,6,12,59,10,3,3,19,4,9,4
