x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328,x329,x330,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341,x342,x343,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354,x355,x356,x357,x358,x359,x360,x361,x362,x363,x364,x365,x366,x367,x368,x369,x370,x371,x372,x373,x374,x375,x376,x377,x378,x379,x380,x381,x382,x383,x384,x385
LYZ,0,2,0,1,0,2,0,0,0,32,0,1,0,0,1,0,0,2,60,0,0,0,38,0,2,55,2,62,2,31,51,0,0,1,3,132,72,0,10,11,0,1,13,135,1,1,0,0,2,38,3,1,1,0,0,44,1,2,0,0,0,0,1,67,72,2,0,0,6,0,75,36,0,40,109,60,170,1,6,1,2,1,132,0,2,1,0,3,78,0,1,2,45,0,0,1,1,0,1,3,0,2,1,1,2,121,1,0,3,0,0,0,1,0,1,1,1,182,1,0,1,1,1,1,0,2,2,1,1,0,1,1,2,0,0,12,1,0,41,135,0,103,33,0,1,1,2,2,2,2,1,1,55,12,0,0,1,1,2,0,1,1,39,146,0,2,0,0,0,0,1,2,3,0,1,0,62,0,2,1,1,0,0,90,0,0,1,1,1,1,0,3,0,4,85,66,0,0,54,0,22,7,0,0,1,1,58,1,43,0,0,1,0,0,0,1,1,3,0,0,0,2,0,0,73,0,0,0,37,144,1,1,0,0,1,0,13,19,48,0,1,0,54,71,0,0,0,1,1,21,0,56,0,1,1,16,1,2,0,2,0,1,2,2,40,0,0,1,0,11,89,51,84,0,0,0,23,2,50,83,56,0,1,3,35,0,1,53,1,0,0,0,0,1,132,34,2,0,0,80,1,1,0,1,2,0,0,52,0,0,37,1,1,4,1,25,0,0,1,27,1,1,0,1,0,0,1,0,1,2,0,2,21,81,125,47,2,2,4,24,1,0,0,2,1,39,0,58,3,0,0,1,12,0,0,2,0,0,0,1,47,2,40,1,1,0,1,0,0,146,0,0,0,1,9,0,0,1,1,1,0,42,0,48
S100A9,0,0,1,1,1,2,1,1,3,32,1,3,1,0,1,1,1,2,47,2,0,0,2,2,0,75,2,23,1,6,44,1,0,0,5,1,113,0,4,9,2,0,8,3,7,1,2,0,0,86,2,0,1,0,1,8,0,0,4,1,2,1,2,156,58,0,0,0,6,1,14,25,1,76,80,92,7,0,7,2,0,1,1,0,1,0,0,0,20,1,1,1,21,2,1,2,1,1,1,1,0,0,1,1,0,76,0,0,0,1,0,1,1,0,1,0,0,53,2,1,2,0,0,0,2,2,1,3,0,1,3,1,1,0,1,14,1,1,40,56,2,162,26,1,2,2,0,4,4,1,0,0,34,15,3,2,2,1,2,0,2,1,68,69,1,0,0,1,1,2,3,1,0,0,3,0,77,0,0,1,2,1,0,66,0,0,3,0,1,0,0,3,1,0,138,18,2,2,35,3,7,1,0,2,0,0,103,1,52,3,2,2,1,1,0,0,1,2,0,1,1,1,1,2,38,0,1,2,16,146,0,0,0,0,1,1,1,20,14,2,0,2,24,63,1,1,1,0,2,42,1,62,0,1,1,49,1,1,1,1,1,2,3,1,44,2,1,2,1,6,169,36,104,1,0,0,29,1,7,81,12,1,1,1,39,1,0,26,2,4,2,2,1,0,1,11,1,0,2,68,0,2,1,0,2,0,1,146,2,0,50,0,0,2,0,43,1,0,1,17,2,1,1,4,0,0,1,1,1,1,0,0,42,23,53,91,0,0,5,7,1,4,2,0,0,3,0,92,0,0,1,0,12,0,1,2,0,0,1,0,66,1,44,0,1,1,1,1,0,69,1,0,0,0,2,2,0,3,0,1,0,50,2,74
S100A8,0,1,1,2,0,1,0,3,3,32,1,0,0,2,1,0,2,3,22,1,0,0,3,2,1,45,1,5,1,3,39,0,1,0,2,2,60,0,2,0,2,2,9,6,1,0,0,1,0,67,2,0,1,0,1,15,0,1,0,0,1,0,0,105,43,0,2,0,3,1,8,14,0,68,60,104,6,1,1,1,0,1,2,1,1,0,0,0,14,1,1,0,17,0,0,0,3,0,0,1,0,0,1,2,1,29,3,3,1,0,2,0,2,0,1,1,1,25,1,2,0,2,1,1,0,1,0,1,1,0,1,1,1,0,0,7,1,0,30,21,1,108,22,0,1,1,1,3,0,2,0,0,43,1,0,0,0,0,2,0,0,0,49,40,0,0,0,2,0,1,0,0,0,0,0,2,88,1,0,1,1,1,2,51,2,0,0,2,0,2,1,0,0,0,93,10,0,1,30,1,3,5,1,0,0,0,111,1,41,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,27,2,0,0,5,133,0,0,0,0,0,0,8,10,10,1,1,0,31,51,0,0,0,0,0,53,0,44,1,0,0,38,0,1,0,3,2,2,3,0,36,1,0,1,1,7,241,25,52,2,2,1,19,0,9,42,12,2,1,0,19,2,1,7,0,0,0,0,1,1,2,10,1,0,1,66,3,1,1,1,0,1,0,93,1,1,45,2,0,0,1,30,0,0,0,7,0,0,0,0,1,0,0,0,3,0,1,1,53,15,48,77,2,0,0,5,0,0,0,0,0,6,0,72,1,0,0,1,3,3,3,0,1,0,0,2,37,1,36,0,1,0,0,1,0,40,1,1,0,1,2,5,0,1,0,0,2,29,0,55
HLA.DRA,1,1,0,0,0,0,0,0,2,10,27,1,1,0,1,3,0,0,17,10,0,0,21,19,17,15,1,18,1,56,9,0,0,1,1,142,33,1,14,9,0,0,1,214,8,0,0,0,0,7,0,0,0,20,0,17,0,17,0,1,0,13,1,10,29,0,0,0,138,22,17,8,0,8,44,15,240,1,8,1,1,1,142,17,1,0,1,1,51,2,0,11,26,0,2,1,1,0,18,1,26,0,0,12,0,149,1,2,1,0,0,0,0,23,27,0,2,61,1,0,0,21,0,0,43,0,10,1,0,28,1,1,32,0,25,9,23,16,7,152,24,33,15,26,14,0,15,24,0,0,9,1,19,5,1,21,0,0,2,1,0,0,8,134,0,22,0,17,0,0,0,0,41,1,25,1,16,0,1,24,0,0,19,3,0,1,0,0,0,0,0,1,0,67,37,45,0,22,12,1,28,30,0,1,2,0,7,0,5,1,1,3,0,1,0,1,1,0,0,0,12,1,0,0,42,0,0,1,136,14,13,0,0,21,0,2,13,28,23,4,25,1,10,17,26,28,3,0,10,2,14,11,17,32,0,0,0,32,0,0,1,2,0,1,6,0,0,1,0,13,7,21,6,0,0,0,6,0,10,38,5,15,0,3,27,33,1,15,23,30,0,0,0,0,142,3,27,1,0,18,2,0,27,28,0,1,23,9,1,0,7,0,21,2,0,6,0,0,2,9,0,1,0,2,1,0,1,0,0,0,2,17,2,68,28,3,1,1,16,19,0,12,1,1,2,13,1,7,1,0,0,1,8,1,2,2,1,0,19,1,25,1,6,1,0,0,1,21,1,134,0,0,0,1,11,8,19,43,1,0,11,14,3,8
CD74,2,0,5,4,1,2,0,2,0,5,38,1,1,0,3,1,0,4,45,28,1,1,7,37,23,9,3,28,0,47,2,2,3,3,3,228,22,0,21,17,1,1,4,214,11,1,2,1,0,2,9,1,2,57,5,18,0,55,1,4,5,37,0,14,7,1,2,2,186,43,20,10,3,3,70,4,514,0,28,3,2,3,228,61,8,5,1,5,80,5,5,33,13,4,3,1,1,5,41,10,37,0,2,38,2,218,3,10,6,2,2,1,1,51,55,1,4,79,2,2,0,44,1,2,49,1,42,0,4,71,1,2,69,1,28,58,55,42,5,222,63,43,16,37,38,3,50,54,3,3,48,4,24,15,2,43,2,5,1,5,3,1,4,152,2,45,1,35,1,3,0,2,67,0,68,0,6,2,2,49,1,1,25,3,6,1,1,2,4,2,4,3,1,34,29,44,1,56,9,3,55,46,2,1,0,1,12,2,5,1,1,2,2,2,2,1,3,3,3,2,49,1,2,1,32,1,4,3,245,16,29,3,1,52,3,0,9,24,23,8,47,1,17,24,37,48,2,0,34,2,43,6,38,46,0,1,2,69,2,0,1,4,3,1,4,0,5,3,3,18,8,16,9,1,1,0,7,5,11,63,2,44,2,1,3,58,3,22,48,45,1,0,1,2,228,4,58,2,0,32,2,2,38,66,2,2,42,6,2,3,14,1,49,3,2,6,1,1,2,7,1,3,1,3,4,4,0,2,2,0,2,55,2,142,46,1,2,3,33,62,0,22,3,2,2,10,4,13,0,4,4,4,13,2,1,3,2,1,40,2,22,0,4,1,5,3,1,35,0,152,2,7,1,0,34,7,38,122,2,6,40,14,13,5
CST3,2,1,2,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,26,0,1,0,16,0,0,16,0,24,0,37,5,0,0,1,1,56,34,0,17,22,1,1,4,77,18,0,1,0,0,7,0,0,1,0,1,13,0,1,2,2,1,1,0,22,20,3,0,0,2,0,23,9,0,2,59,18,160,0,25,1,0,0,56,1,1,0,1,1,39,1,0,0,11,0,0,2,1,0,1,1,0,0,1,0,0,58,2,0,1,1,0,1,0,0,1,0,1,26,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,9,0,0,14,108,0,39,6,1,1,0,0,48,0,1,1,2,22,20,2,0,0,0,2,0,0,0,6,71,0,0,0,1,0,0,1,0,1,0,0,2,13,0,2,1,1,0,0,11,1,1,1,1,0,1,0,0,0,0,19,21,0,0,17,1,44,27,0,0,1,1,18,0,5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,23,0,1,0,107,21,0,0,0,1,0,1,5,52,31,1,0,0,11,11,1,0,1,0,0,5,0,11,0,1,0,4,0,0,1,0,0,0,0,0,9,1,0,1,0,4,14,15,10,1,0,0,6,1,15,41,5,2,1,0,14,0,0,12,0,0,0,0,1,0,56,4,1,0,3,29,0,1,0,1,0,0,0,6,0,0,6,1,0,1,1,4,1,0,2,10,1,1,0,2,1,1,0,1,0,2,0,1,5,69,48,5,3,0,14,52,0,1,0,0,1,19,0,14,0,0,1,1,33,1,0,1,2,0,0,0,21,0,9,1,0,2,0,1,1,71,2,0,0,0,18,2,1,0,0,0,0,27,0,8
TYROBP,0,0,0,0,0,0,0,0,0,12,0,6,0,0,0,0,1,2,12,0,0,0,9,1,0,16,0,14,0,29,11,1,4,0,0,18,18,1,28,20,0,0,9,10,31,0,0,0,0,9,0,0,0,1,0,7,0,2,0,2,1,0,1,21,23,0,0,1,2,0,20,11,0,25,21,14,3,0,18,0,1,1,18,2,0,0,7,0,34,1,0,0,17,14,0,0,0,0,0,1,0,0,0,0,0,18,1,0,0,0,0,2,0,1,1,1,1,27,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,1,8,20,2,19,9,1,1,0,0,35,0,6,0,5,18,23,0,0,1,0,0,0,0,1,15,12,1,0,0,0,7,0,0,0,0,0,0,1,10,1,0,0,0,0,1,20,0,0,0,0,2,0,0,0,1,0,25,20,0,0,30,1,27,23,0,0,0,0,20,6,16,10,0,0,0,0,0,0,1,0,10,0,0,0,1,0,32,0,0,0,13,16,1,0,0,0,1,0,7,31,25,0,0,0,24,15,1,1,0,0,0,6,0,11,0,1,1,4,1,0,0,6,0,0,0,0,14,0,2,0,0,14,23,27,16,0,1,0,11,0,9,16,9,0,0,2,10,0,1,12,1,1,0,1,0,0,18,3,0,6,0,19,0,8,0,1,0,1,0,12,0,1,5,0,0,1,0,4,0,0,0,12,0,0,1,3,1,1,0,0,0,0,0,2,6,12,23,9,0,0,23,15,0,1,0,1,0,14,0,19,0,0,0,0,11,0,0,0,0,1,0,0,20,0,14,0,0,0,0,1,1,12,0,4,0,0,28,1,0,1,1,4,0,19,0,21
S100A4,0,3,7,0,1,1,1,15,2,13,0,5,2,0,0,0,3,10,27,0,1,0,19,0,0,27,16,10,9,33,24,2,2,0,0,27,27,2,39,40,2,0,6,9,81,0,0,5,0,14,2,0,0,0,13,8,3,3,2,3,2,0,9,22,16,6,2,16,44,0,24,17,6,6,41,17,18,0,69,0,2,7,27,2,1,4,6,1,28,15,24,2,21,0,20,1,0,1,0,11,0,1,1,2,19,60,14,30,9,3,2,8,1,1,3,0,1,29,3,1,1,0,10,1,0,1,2,2,6,2,1,11,1,9,0,8,1,1,17,58,0,53,7,1,4,4,1,66,2,7,1,4,20,60,3,1,5,9,6,3,3,0,10,53,1,0,0,3,6,1,6,0,3,1,1,2,21,0,0,0,10,0,0,19,9,0,1,1,16,1,3,12,1,1,43,25,2,0,22,1,34,51,2,1,0,3,27,6,31,6,1,14,2,0,2,7,0,1,10,1,1,2,2,16,28,18,1,7,50,22,0,1,2,1,2,6,17,55,16,18,1,9,28,22,1,0,9,0,0,13,2,24,1,1,3,10,2,1,5,8,1,5,2,2,15,1,7,0,11,13,23,22,28,2,6,1,13,2,12,46,8,3,0,1,23,1,2,22,1,2,2,1,1,4,27,7,1,6,19,14,3,1,0,0,11,4,1,13,3,1,22,0,0,15,1,15,1,1,2,8,7,4,3,19,27,1,1,5,6,13,1,3,13,35,55,17,19,4,39,22,2,4,7,2,2,18,1,16,1,1,1,7,37,8,2,5,11,1,1,2,23,9,15,8,24,1,2,0,0,53,0,8,11,7,36,7,1,2,25,13,2,30,10,9
NA.,0,0,0,1,0,0,0,0,0,0,25,0,0,0,1,0,1,0,0,24,0,2,0,1,45,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,1,0,0,1,0,0,0,0,0,1,0,0,0,22,2,0,0,28,1,0,0,9,0,1,0,0,1,0,226,38,0,0,0,0,0,0,1,0,0,0,0,0,1,58,0,1,0,0,0,0,0,23,0,0,0,0,0,0,66,0,47,0,0,30,1,2,0,0,0,0,1,0,0,41,53,0,1,1,1,0,0,68,0,0,50,0,0,0,0,3,0,0,54,0,4,2,44,3,1,1,0,0,3,1,0,0,20,0,0,0,27,0,0,0,1,59,0,1,1,0,0,1,1,2,0,0,2,1,0,0,0,0,30,0,16,1,0,0,0,2,0,1,23,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,37,0,0,0,0,0,0,0,0,0,62,0,0,0,1,0,0,0,88,0,57,1,26,37,0,0,0,54,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,53,43,0,0,0,0,1,2,19,1,0,0,1,0,25,44,0,0,0,0,0,0,0,0,19,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,50,0,1,0,1,0,0,0,0,60,0,2,0,1,0,0,0,1,0,21,0,0,20,0,1,0
FTL,7,9,6,4,2,11,7,9,5,53,10,8,3,5,12,4,2,3,36,5,2,13,67,9,10,69,7,103,11,106,35,12,6,3,5,28,85,2,138,122,22,3,24,42,96,3,2,2,3,41,7,9,1,6,8,42,1,15,7,7,6,2,3,98,76,5,5,4,61,11,96,53,5,60,56,67,61,6,121,6,12,7,28,11,8,10,6,1,135,18,6,9,81,2,8,8,2,4,10,13,4,5,2,7,10,26,12,9,12,11,5,9,5,5,5,2,6,97,14,11,7,12,6,5,6,6,7,2,4,9,12,6,6,7,5,82,12,4,54,48,6,96,33,11,10,4,5,266,11,7,3,0,120,83,8,11,14,6,9,10,10,3,70,34,10,14,13,13,5,12,10,10,9,4,22,3,38,9,9,5,6,3,6,86,12,3,6,8,9,8,4,7,6,17,118,73,3,13,82,8,111,157,8,8,4,7,99,11,55,24,8,11,3,9,3,6,9,3,3,4,4,4,6,9,123,5,7,6,33,92,4,9,7,9,14,9,78,197,83,20,10,12,104,71,11,6,9,9,6,35,14,59,10,14,2,34,6,6,16,5,8,5,11,4,57,12,7,6,17,41,79,118,60,4,5,1,45,5,62,114,74,22,12,6,70,9,6,115,13,15,3,12,4,8,28,26,2,6,6,61,7,5,10,15,5,7,2,40,3,12,31,3,12,6,2,28,11,3,9,56,15,6,3,6,2,3,5,4,15,11,4,15,35,34,97,36,6,6,85,97,10,28,6,12,10,87,12,77,11,13,7,5,84,10,8,3,8,3,13,8,150,11,57,9,6,4,11,7,8,34,3,7,8,3,84,10,6,21,9,11,8,79,5,72
