x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328,x329,x330,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341,x342,x343,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354,x355,x356,x357,x358,x359,x360,x361,x362,x363,x364,x365,x366,x367,x368,x369,x370,x371,x372,x373,x374,x375,x376,x377,x378,x379,x380,x381,x382,x383,x384,x385
LYZ,0,0,3,0,0,0,0,1,23,89,87,2,2,0,1,0,27,1,0,0,0,1,4,1,27,1,73,0,0,1,0,0,1,0,0,0,26,2,41,0,0,1,1,1,2,0,45,1,1,1,0,0,0,1,1,60,1,1,0,1,1,1,1,98,2,1,1,0,0,1,42,0,6,1,0,2,0,0,41,2,28,2,2,2,1,1,2,0,3,2,23,8,0,1,69,103,0,0,1,42,0,0,0,26,25,87,176,39,0,1,1,1,2,55,1,2,98,0,1,16,2,41,0,7,1,2,5,0,1,1,0,0,26,2,1,2,60,1,0,26,12,0,0,0,43,1,0,19,2,0,0,0,1,0,0,0,1,78,113,1,0,1,1,36,1,0,1,2,1,1,1,1,93,0,50,32,0,45,50,0,0,1,1,0,2,94,2,27,2,0,2,57,2,1,0,0,50,0,30,0,8,37,1,221,34,0,85,21,2,0,1,1,1,2,0,2,41,1,1,0,2,1,94,1,1,1,86,0,2,2,0,0,24,2,0,1,0,0,47,21,1,31,2,0,0,30,0,0,3,4,39,53,1,0,0,2,1,84,2,80,54,0,1,1,1,63,98,0,0,3,31,1,0,0,11,0,0,1,0,1,0,0,0,0,1,1,0,0,0,27,10,0,24,2,31,1,0,22,0,0,0,0,0,0,97,0,0,0,1,0,0,184,1,1,1,1,0,46,0,1,0,0,0,1,0,1,1,0,0,0,30,36,0,0,126,34,1,1,1,0,0,1,1,0,0,5,0,0,55,2,52,38,1,182,1,0,1,0,1,3,0,31,76,1,2,57,59,0,0,1,0,1,2,0,0,2,1,0,1,2,2,7,0,0
S100A9,3,0,5,2,2,0,3,0,24,3,139,2,1,4,1,0,16,0,1,0,0,1,6,0,38,1,38,1,2,0,0,1,0,0,0,0,57,1,81,1,0,2,0,1,1,2,15,0,0,0,1,0,0,0,0,109,1,0,1,1,0,1,0,101,1,0,0,1,1,0,46,3,2,1,0,0,1,3,47,0,20,0,2,1,1,1,1,2,1,3,4,20,0,0,14,3,1,0,1,38,0,0,1,41,55,3,11,9,0,1,1,0,1,75,1,0,100,1,2,15,0,81,0,2,0,1,3,0,1,2,0,0,18,2,2,0,92,1,1,17,12,1,0,1,85,1,0,26,0,0,0,1,0,2,0,2,0,144,81,0,3,2,2,25,1,2,0,3,0,0,1,2,82,0,40,72,0,15,92,1,1,0,3,1,0,17,2,4,1,0,1,11,2,3,0,1,21,0,11,2,8,44,1,30,17,0,12,24,1,0,1,0,2,0,1,0,57,0,0,0,1,2,10,1,0,0,58,1,0,4,1,0,19,1,1,0,1,0,18,36,0,6,0,0,1,27,5,1,1,1,54,26,0,1,0,1,1,144,1,104,24,1,0,1,0,57,124,0,0,1,6,2,1,0,2,1,1,2,1,0,1,3,0,0,1,0,0,1,1,13,3,1,29,1,7,2,1,95,0,0,0,0,0,0,81,1,3,0,0,1,0,45,0,0,0,2,2,68,2,1,1,0,1,2,0,0,0,0,0,1,50,68,2,0,67,17,2,1,3,0,1,0,0,0,1,8,0,0,64,0,112,9,1,85,0,0,1,1,0,2,1,7,91,2,1,82,92,1,1,0,1,1,1,1,1,0,0,1,1,2,1,4,0,1
S100A8,0,2,0,1,0,1,0,1,29,2,121,3,0,0,0,0,23,1,1,2,1,1,1,1,45,1,27,1,0,2,0,1,0,2,0,2,92,0,43,3,1,1,0,1,0,2,9,0,1,1,0,1,1,0,2,87,0,0,2,0,0,1,1,75,0,0,2,0,0,0,40,0,1,0,0,0,0,0,38,0,25,0,1,1,1,0,0,0,1,0,10,9,0,0,15,1,0,0,1,48,0,1,0,62,50,1,6,6,0,0,1,0,0,45,0,0,60,0,0,10,1,43,2,4,0,0,0,0,1,2,0,0,31,0,1,0,104,1,2,19,3,0,0,0,93,0,0,53,1,0,1,0,1,0,0,0,0,78,62,1,0,0,0,14,1,0,1,0,1,1,0,1,48,1,37,90,1,9,80,0,0,1,2,2,0,7,1,4,1,1,2,5,0,0,1,1,16,0,9,0,6,42,1,12,21,0,3,20,0,1,0,0,0,0,2,1,73,1,0,0,3,0,5,0,0,1,54,0,0,3,0,0,13,1,1,1,1,1,5,48,0,3,1,0,0,23,1,0,2,1,47,7,0,2,0,0,0,96,0,57,31,1,0,1,2,27,97,1,1,0,3,0,0,0,1,0,3,0,2,4,1,0,0,0,0,0,0,0,0,12,0,1,25,0,12,0,2,103,0,0,2,0,0,1,61,1,1,0,1,1,0,11,0,1,1,0,1,54,2,0,0,0,2,0,0,2,0,1,1,0,72,62,0,0,46,21,0,0,1,2,0,2,1,1,1,3,2,1,55,0,102,4,0,64,2,1,2,0,0,1,0,12,52,1,1,69,60,0,0,0,1,2,0,1,1,1,2,1,1,0,0,3,0,0
HLA.DRA,0,1,2,10,2,1,1,15,1,140,9,1,2,30,0,30,8,0,0,0,0,0,12,24,4,0,42,0,1,0,1,1,1,1,0,2,3,0,6,1,0,1,2,0,36,26,26,0,1,31,2,0,12,0,3,21,0,1,1,1,0,0,1,9,27,0,1,25,3,1,9,1,16,2,0,2,1,4,4,1,9,0,24,1,21,0,0,1,0,22,18,38,0,1,44,72,1,19,0,1,0,0,25,7,5,89,274,26,0,3,0,0,23,15,0,2,69,2,0,18,1,6,0,19,0,0,11,1,0,2,1,0,3,0,0,2,15,0,0,6,8,2,0,18,4,1,0,5,0,28,8,0,25,1,1,1,2,11,49,0,13,0,0,8,12,9,2,0,0,1,0,0,15,0,17,6,1,26,3,1,0,13,0,0,2,40,20,12,2,0,4,28,1,0,0,0,4,1,29,3,10,6,12,125,7,1,79,11,0,38,0,0,1,0,1,1,4,1,0,2,0,0,212,2,32,1,4,1,2,24,0,0,23,2,0,0,2,1,12,5,1,56,20,1,1,5,0,0,1,1,5,15,1,0,1,1,0,21,1,22,10,0,1,1,1,4,7,18,9,1,56,23,3,1,16,2,16,0,5,0,0,0,1,16,0,3,0,0,0,41,15,31,10,65,7,18,0,21,19,0,1,0,1,1,26,14,1,2,0,22,16,215,18,0,0,0,2,18,19,0,0,1,1,3,22,1,0,1,0,1,6,7,0,0,37,7,0,19,26,0,0,1,13,0,2,39,2,12,11,36,12,36,0,22,1,0,0,1,20,0,0,7,13,14,0,4,8,14,1,0,0,1,1,0,0,4,0,51,1,2,0,29,0,0
CD74,1,0,1,28,2,0,1,49,4,259,4,1,1,45,7,51,4,3,1,1,0,1,12,40,4,5,32,2,1,1,2,3,1,5,5,3,3,1,5,1,1,3,0,3,52,57,58,4,6,60,4,1,47,1,10,26,5,2,3,5,2,2,4,8,59,1,1,53,7,4,10,1,32,4,2,8,3,3,2,3,4,4,54,8,36,2,4,1,0,41,43,60,1,2,30,174,5,41,1,2,4,2,53,1,6,201,388,15,3,5,1,5,31,9,0,1,69,0,0,8,5,5,1,36,3,1,26,3,1,4,2,4,5,3,0,5,4,5,2,3,13,3,4,50,4,1,1,6,2,75,36,2,60,3,2,0,0,12,40,3,47,1,2,10,37,29,1,4,1,4,7,2,4,2,5,7,4,58,3,2,1,13,1,3,1,27,50,10,19,7,0,33,4,0,2,3,8,2,10,1,5,5,37,116,1,1,62,3,0,60,1,4,0,1,1,2,1,2,2,0,2,1,260,3,52,3,0,1,1,54,1,2,13,1,1,1,6,2,9,2,1,47,49,3,3,7,3,6,3,2,13,22,3,2,0,3,0,21,3,14,17,0,1,1,1,7,6,41,27,2,47,48,2,2,22,0,92,6,5,3,1,1,3,50,1,3,0,1,1,35,34,56,10,95,7,32,2,11,38,7,0,4,2,1,32,11,1,0,0,36,39,298,53,3,0,3,0,12,37,1,3,0,3,3,48,2,1,2,3,3,4,13,2,4,33,1,4,55,68,4,1,1,13,0,6,19,1,34,12,47,0,42,4,39,1,1,1,0,47,3,1,7,14,38,5,5,11,41,3,5,1,0,0,0,0,5,3,51,7,2,2,41,3,2
CST3,1,0,1,0,0,0,0,1,8,137,14,0,0,0,0,0,3,3,0,0,2,0,13,0,9,1,23,0,0,0,0,0,1,3,0,0,7,1,9,0,2,1,0,1,0,1,17,2,2,0,0,0,1,0,1,23,0,0,2,1,0,1,0,12,0,0,2,1,0,0,11,0,36,0,0,1,0,2,11,0,13,0,0,1,1,1,1,1,0,0,15,26,0,2,30,82,2,1,1,12,2,0,1,9,4,76,164,21,0,1,0,0,1,16,0,0,42,1,1,11,1,9,0,17,0,1,22,0,0,0,1,1,2,0,0,1,18,1,0,12,33,1,1,0,6,0,0,2,0,1,0,1,0,0,1,0,0,12,21,1,0,0,1,9,1,0,1,1,1,0,0,1,12,0,7,16,1,17,10,0,0,1,1,0,0,16,0,9,0,1,1,21,1,1,0,1,9,0,16,0,22,9,1,74,2,0,31,9,0,1,1,2,0,0,0,1,7,1,0,0,2,0,92,0,0,0,10,0,0,48,0,0,14,0,0,3,3,1,4,5,1,37,0,0,1,5,0,0,0,0,13,12,0,0,0,2,0,16,1,17,11,0,1,0,2,12,20,0,0,1,37,0,1,2,31,1,20,0,0,1,0,2,2,0,0,0,0,1,0,18,23,0,12,1,10,0,0,11,1,0,0,0,2,0,34,0,1,0,1,0,1,101,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,6,8,1,0,26,2,0,0,1,1,0,0,1,0,0,28,2,0,13,0,5,38,0,24,2,0,0,0,1,0,0,10,12,1,1,10,14,0,1,2,0,0,0,0,1,0,0,0,0,0,0,24,0,0
TYROBP,0,0,0,0,1,0,0,1,7,9,15,2,1,1,0,0,8,0,0,0,1,0,33,0,7,7,32,0,2,0,1,0,0,0,7,6,4,0,14,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,1,29,0,4,1,0,2,0,0,10,0,0,2,0,0,1,18,0,28,0,0,0,1,0,13,0,4,0,0,0,1,0,1,0,0,0,8,30,0,0,15,0,0,1,0,6,0,0,0,9,7,16,2,8,0,0,1,0,0,16,0,1,19,0,0,15,0,14,1,17,0,0,20,0,0,0,5,1,5,1,0,0,14,7,1,5,11,0,0,1,15,1,0,5,0,0,0,0,0,0,1,0,0,22,22,2,0,0,0,11,0,0,0,0,1,0,0,0,14,2,7,9,1,10,6,0,1,0,0,0,1,25,2,10,0,1,0,13,0,0,0,0,8,0,25,0,17,11,0,19,6,0,22,4,1,0,1,0,1,0,0,0,6,0,0,0,1,2,18,10,1,1,10,0,0,35,0,1,13,1,0,0,1,0,10,9,7,29,0,0,3,10,1,0,1,0,6,12,0,2,1,0,1,30,1,13,24,0,0,0,2,22,17,0,0,0,29,1,0,0,18,1,14,2,0,1,0,1,0,0,0,4,0,0,0,13,30,0,13,0,6,0,1,18,0,0,0,0,5,0,18,0,0,0,0,2,0,21,0,1,0,12,0,19,1,0,0,1,0,1,0,0,4,0,0,0,14,10,4,1,26,6,0,1,1,0,0,8,0,1,0,18,0,0,12,1,19,19,0,10,2,0,1,0,0,0,0,6,18,1,8,17,24,0,0,0,0,0,0,0,1,0,0,0,1,0,0,24,1,1
S100A4,11,0,10,0,5,0,4,1,14,27,19,19,0,2,10,3,8,4,8,0,2,4,65,1,9,5,28,9,9,7,0,20,2,0,1,10,10,8,7,11,1,0,6,11,2,1,9,5,10,1,18,0,0,2,18,35,1,4,18,7,0,2,1,23,0,0,5,2,6,15,18,1,31,0,0,10,3,20,15,12,15,9,0,1,0,1,4,4,11,1,23,58,1,12,26,2,1,1,13,14,11,1,2,17,13,47,46,23,6,9,3,4,3,27,5,8,43,0,0,24,24,7,6,28,2,1,60,2,4,5,4,1,8,1,1,9,17,5,1,19,37,2,9,1,20,4,0,11,17,4,0,5,0,9,0,3,6,21,22,3,1,2,4,17,2,0,1,5,4,1,4,0,27,1,6,23,27,9,27,0,2,0,4,4,8,12,0,6,24,11,4,28,0,6,0,0,9,0,46,5,36,13,2,45,7,0,22,3,2,2,1,5,9,0,1,11,14,27,0,5,0,20,83,1,0,2,23,0,14,66,1,7,17,3,3,4,19,0,11,10,2,33,0,1,4,15,1,9,4,12,20,22,4,5,0,4,1,24,2,41,28,10,2,1,5,18,29,0,0,17,33,1,9,0,22,6,10,5,9,13,10,3,9,1,0,10,1,1,12,13,45,0,13,4,9,1,1,24,1,4,0,4,4,6,25,5,3,5,0,2,0,55,1,3,6,1,1,26,0,8,2,1,0,10,1,2,0,4,0,1,26,14,21,5,50,7,3,1,2,0,0,3,0,1,12,36,17,1,23,1,31,33,3,25,5,6,6,4,0,1,1,9,17,4,3,14,12,0,0,23,3,5,0,10,13,3,8,1,19,11,1,42,0,11
NA.,0,0,0,24,0,0,0,15,0,0,1,0,0,43,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,0,0,0,34,1,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,24,0,61,0,1,0,1,0,19,2,0,0,0,0,0,45,0,0,0,0,0,0,0,1,2,0,0,0,1,1,66,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,110,28,0,29,0,0,0,0,0,1,1,15,0,0,0,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,72,0,0,0,1,0,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,17,67,0,0,53,0,0,2,0,5,0,0,0,0,1,0,0,0,0,1,1,0,0,0,34,0,0,1,26,0,0,0,0,0,0,0,1,0,0,0,0,1,21,1,0,0,0,0,0,1,0,1,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,1,1,39,0,0,0,21,0,0,0,0,0,0,31,0,0,0,1,0,0,1,0,39,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
FTL,8,2,8,5,9,7,2,4,51,32,61,9,5,15,5,14,30,9,3,2,6,9,82,6,46,11,123,6,7,9,5,8,2,12,7,10,31,11,32,6,2,6,0,7,11,8,12,9,14,19,15,13,6,7,16,75,5,5,16,4,3,6,3,53,8,2,13,9,9,8,51,5,211,5,8,8,8,19,71,6,42,7,14,8,10,8,10,6,5,10,91,113,3,5,56,29,9,8,6,37,6,10,9,27,37,19,38,56,8,14,9,10,15,69,3,6,69,7,4,80,6,32,5,279,5,4,129,11,9,5,7,3,31,8,12,6,67,11,11,31,84,3,5,9,65,11,9,32,3,13,4,16,14,9,6,6,0,86,149,5,13,7,7,53,10,4,7,7,7,3,6,4,92,9,63,57,2,12,48,5,5,4,6,4,6,105,11,45,8,4,18,81,6,10,9,3,44,1,81,5,157,47,10,50,36,3,100,30,4,17,11,9,3,10,8,9,49,6,6,3,5,4,47,1,5,6,74,8,1,266,2,7,50,11,7,8,15,5,72,45,7,106,5,2,11,39,5,9,11,5,75,115,9,5,11,10,7,103,3,99,104,9,2,4,13,79,104,3,3,6,106,13,9,7,85,9,13,3,8,4,6,10,4,9,2,5,9,9,11,93,142,7,65,19,38,8,11,107,6,4,2,8,5,13,113,6,4,3,3,4,8,42,16,7,4,5,3,73,9,13,10,1,8,8,9,8,3,12,6,14,38,52,11,5,155,36,9,11,17,6,5,7,4,5,7,222,4,6,81,9,77,116,10,69,13,8,6,7,6,3,2,38,82,10,8,56,80,4,3,16,2,5,4,9,11,27,6,6,5,8,5,82,7,11
