x1,x2
176,1
186,2
668,3
389,4
18,5
567,6
421,7
173,8
349,9
532,10
650,11
144,12
32,13
585,14
13,15
245,16
330,17
426,18
615,19
103,20
53,21
481,22
700,23
678,24
455,25
562,26
118,27
211,28
45,29
555,30
724,31
699,32
208,33
337,34
119,35
506,36
283,37
538,38
649,39
234,40
454,41
511,42
630,43
158,44
566,45
393,46
86,47
209,48
37,49
713,50
621,51
108,52
204,53
319,54
7,55
126,56
44,57
391,58
569,59
742,60
563,61
38,62
552,63
345,64
113,65
289,66
371,67
475,68
609,69
496,70
95,71
235,72
132,73
100,74
89,75
748,76
139,77
682,78
610,79
224,80
339,81
546,82
373,83
697,84
488,85
530,86
60,87
155,88
243,89
15,90
479,91
658,92
219,93
305,94
165,95
430,96
561,97
385,98
669,99
626,100
320,101
727,102
85,103
417,104
109,105
723,106
433,107
477,108
542,109
263,110
297,111
734,112
355,113
738,114
370,115
638,116
98,117
29,118
633,119
181,120
710,121
377,122
25,123
250,124
128,125
217,126
690,127
423,128
275,129
590,130
287,131
102,132
52,133
646,134
195,135
285,136
101,137
336,138
408,139
495,140
11,141
36,142
284,143
528,144
150,145
625,146
228,147
57,148
411,149
59,150
558,151
708,152
146,153
681,154
719,155
757,156
247,157
441,158
107,159
261,160
711,161
241,162
138,163
478,164
14,165
272,166
680,167
392,168
3,169
123,170
505,171
394,172
498,173
533,174
603,175
614,176
55,177
368,178
467,179
184,180
720,181
218,182
51,183
353,184
386,185
499,186
262,187
33,188
571,189
154,190
429,191
729,192
160,193
501,194
153,195
564,196
17,197
545,198
203,199
584,200
519,201
582,202
604,203
548,204
471,205
554,206
120,207
276,208
12,209
577,210
222,211
357,212
67,213
354,214
200,215
627,216
689,217
121,218
728,219
64,220
80,221
152,222
134,223
469,224
598,225
333,226
631,227
749,228
47,229
694,230
428,231
365,232
643,233
415,234
172,235
402,236
453,237
456,238
580,239
641,240
264,241
68,242
23,243
616,244
299,245
474,246
129,247
82,248
122,249
617,250
190,251
416,252
390,253
526,254
536,255
331,256
525,257
1,258
265,259
651,260
259,261
509,262
249,263
187,264
300,265
687,266
363,267
277,268
294,269
246,270
594,271
462,272
404,273
491,274
293,275
696,276
709,277
274,278
424,279
177,280
497,281
502,282
427,283
513,284
340,285
754,286
341,287
292,288
473,289
10,290
671,291
412,292
42,293
202,294
20,295
347,296
130,297
61,298
116,299
148,300
46,301
362,302
382,303
461,304
736,305
442,306
384,307
