x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200,x201,x202,x203,x204,x205,x206,x207,x208,x209,x210,x211,x212,x213,x214,x215,x216,x217,x218,x219,x220,x221,x222,x223,x224,x225,x226,x227,x228,x229,x230,x231,x232,x233,x234,x235,x236,x237,x238,x239,x240,x241,x242,x243,x244,x245,x246,x247,x248,x249,x250,x251,x252,x253,x254,x255,x256,x257,x258,x259,x260,x261,x262,x263,x264,x265,x266,x267,x268,x269,x270,x271,x272,x273,x274,x275,x276,x277,x278,x279,x280,x281,x282,x283,x284,x285,x286,x287,x288,x289,x290,x291,x292,x293,x294,x295,x296,x297,x298,x299,x300,x301,x302,x303,x304,x305,x306,x307,x308,x309,x310,x311,x312,x313,x314,x315,x316,x317,x318,x319,x320,x321,x322,x323,x324,x325,x326,x327,x328,x329,x330,x331,x332,x333,x334,x335,x336,x337,x338,x339,x340,x341,x342,x343,x344,x345,x346,x347,x348,x349,x350,x351,x352,x353,x354,x355,x356,x357,x358,x359,x360,x361,x362,x363,x364,x365,x366,x367,x368,x369,x370,x371,x372,x373,x374,x375,x376,x377,x378,x379,x380,x381,x382,x383,x384,x385
LYZ,163,1,0,1,2,1,0,0,1,0,1,0,0,3,5,0,0,2,0,36,1,1,98,72,1,0,60,2,0,0,1,0,0,1,79,0,1,50,0,4,0,1,0,1,2,0,0,42,0,1,0,0,2,1,0,0,1,0,0,17,2,1,0,2,2,1,45,0,36,0,1,89,0,86,18,0,1,1,32,7,110,1,0,0,0,1,0,0,1,2,1,1,2,43,0,0,44,0,0,1,4,0,0,0,125,2,1,2,35,0,2,1,1,0,0,1,0,0,2,1,2,184,0,26,3,176,91,1,139,0,0,22,1,0,0,0,0,0,20,0,38,0,0,1,1,2,45,1,73,2,145,0,1,58,1,52,2,0,1,0,34,126,2,41,1,2,0,89,1,1,0,1,0,51,0,1,0,0,1,2,1,0,1,0,0,48,0,1,125,2,1,0,2,0,63,0,1,1,110,1,2,2,2,1,0,40,1,1,44,168,0,210,1,0,1,0,3,48,0,0,50,1,50,1,25,3,0,23,1,0,31,22,0,0,41,22,0,38,1,62,1,0,1,0,84,8,0,2,1,62,0,0,1,1,0,2,0,0,0,44,0,0,0,0,2,1,0,0,0,2,24,34,1,23,1,2,14,44,118,53,2,0,62,0,75,0,182,0,0,41,1,58,2,1,246,59,60,1,0,1,0,49,1,2,2,1,1,0,4,2,2,0,2,0,0,0,1,0,84,1,0,91,0,2,110,1,0,1,2,1,0,90,42,0,0,1,25,71,0,1,2,1,0,131,0,0,0,39,1,0,1,1,1,1,92,50,0,0,1,1,1,0,116,2,1,0,1,1,0,4,0,1,0,144,94,1,150,1,0,0,73,0,62,0
S100A9,181,7,2,2,2,0,0,2,1,0,0,0,0,1,10,2,1,1,3,20,1,1,100,48,0,0,92,3,0,1,0,2,1,0,9,1,1,29,0,0,0,0,0,0,4,1,0,46,1,0,0,0,0,2,1,1,0,2,0,42,0,2,2,1,2,2,15,1,39,1,0,3,1,10,22,0,1,0,43,4,76,1,0,1,0,1,1,1,1,1,2,1,0,85,0,1,82,0,2,0,1,0,0,1,113,3,1,3,78,1,0,3,0,1,1,0,0,2,1,0,1,45,3,66,3,11,28,0,11,0,2,13,0,1,3,1,3,2,21,0,86,1,3,2,2,1,89,1,38,1,108,0,0,32,3,112,3,2,1,0,11,43,1,45,2,0,0,13,1,0,3,1,2,94,3,1,1,0,2,1,1,0,1,3,0,34,0,0,113,0,0,2,0,0,40,2,0,2,34,0,2,1,1,1,1,31,0,4,94,10,0,143,1,1,2,0,2,14,1,1,48,0,40,0,27,3,1,29,1,0,63,19,0,0,51,37,0,86,1,47,3,0,0,0,172,3,0,2,0,69,0,2,2,1,0,1,0,0,0,3,0,1,0,0,2,2,0,1,1,1,11,70,0,29,2,0,13,82,145,25,0,1,69,0,83,0,85,1,1,55,1,27,1,2,37,63,92,3,0,1,1,62,0,3,0,1,0,2,3,0,0,0,0,3,1,0,1,2,144,2,3,116,1,1,52,1,3,0,1,3,1,2,19,1,0,4,81,63,0,2,1,4,1,38,2,0,2,3,1,0,0,1,4,0,75,30,1,4,0,2,2,1,12,1,1,1,0,0,0,0,0,0,0,146,108,1,10,1,0,1,38,1,34,1
S100A8,80,1,1,0,0,2,0,1,0,2,2,0,0,3,2,0,0,2,0,17,0,1,60,36,1,0,104,2,1,2,0,0,1,0,3,0,1,13,0,0,1,0,2,0,0,1,0,40,1,0,0,1,0,3,0,0,0,1,0,46,0,3,0,1,0,0,9,1,40,1,0,2,1,2,12,0,0,0,59,3,55,3,0,2,1,0,1,1,0,0,2,0,1,93,0,2,63,1,0,1,2,0,2,1,97,3,0,2,67,1,1,0,0,0,1,0,1,0,1,1,0,11,0,105,2,6,16,0,1,0,0,12,1,0,1,0,0,0,27,0,67,2,3,0,3,0,63,0,27,0,55,0,0,35,3,102,1,0,0,0,10,28,0,44,2,1,3,12,0,0,0,3,2,85,0,1,0,1,0,0,1,0,0,0,1,28,1,1,97,0,1,0,1,0,25,2,1,2,56,1,0,0,0,1,0,19,1,0,114,2,1,104,0,1,1,0,2,10,2,1,14,1,37,0,19,0,0,19,0,0,56,14,1,0,76,46,0,67,0,35,2,0,1,2,136,3,0,1,2,51,0,0,2,0,0,1,1,0,0,2,0,0,1,0,0,1,0,0,1,1,13,64,0,19,1,1,14,63,119,22,0,0,51,1,87,1,64,2,0,57,1,20,0,0,33,33,104,1,1,1,0,59,0,0,1,3,0,0,3,0,0,0,0,0,1,0,4,1,96,0,0,143,0,1,20,0,0,0,0,1,0,5,21,0,0,1,58,51,1,0,0,2,1,16,0,1,2,6,1,0,2,0,3,0,35,10,1,1,0,0,1,1,18,1,0,0,0,1,2,0,0,1,1,133,99,2,3,0,1,1,27,0,19,0
HLA.DRA,5,8,1,0,0,0,3,0,0,0,20,0,1,0,35,1,0,14,0,10,1,23,69,6,1,1,15,1,0,0,0,10,1,0,53,0,23,23,0,18,2,16,0,1,0,1,23,9,0,0,1,0,0,3,0,18,0,0,23,4,0,3,1,1,0,2,26,0,2,0,1,140,23,102,18,0,2,2,7,29,18,1,1,0,0,2,1,2,0,0,1,0,1,4,17,0,15,1,1,0,1,1,3,1,28,0,11,2,3,0,1,0,14,20,0,1,0,12,1,1,31,215,0,9,0,274,98,1,130,0,43,33,0,0,1,28,21,0,21,12,7,0,2,2,0,0,5,15,42,0,11,0,0,12,7,12,0,1,0,24,3,22,0,6,13,1,1,60,0,2,0,1,0,4,2,21,1,8,0,2,0,29,1,0,0,7,1,15,28,1,0,0,1,0,31,1,0,1,21,1,2,1,1,1,0,10,1,1,1,142,0,16,0,0,1,24,35,23,0,0,86,0,17,0,16,1,0,6,0,1,10,12,0,0,4,3,1,7,0,5,0,4,1,0,16,10,0,22,0,16,17,1,13,0,0,0,0,1,1,36,10,3,0,28,2,0,1,1,23,1,6,3,0,6,0,1,10,15,10,18,0,3,16,37,32,1,22,0,0,9,1,53,0,0,58,12,15,1,0,1,2,13,0,0,21,19,0,1,2,22,0,0,29,2,0,0,26,0,21,1,13,7,23,1,11,2,21,19,3,0,0,283,5,1,3,22,5,17,0,2,33,0,1,25,9,1,1,13,17,0,0,0,1,21,11,30,0,0,2,0,0,0,94,17,3,0,21,1,11,8,0,2,14,14,29,0,178,36,0,0,42,24,48,24
CD74,10,11,4,1,0,1,2,4,0,2,41,2,0,3,44,3,4,42,1,7,2,56,69,9,1,1,4,1,1,0,0,38,2,1,33,5,56,16,2,33,3,45,3,1,3,8,40,10,1,0,2,1,2,5,3,47,3,1,40,3,2,5,2,6,2,7,58,0,3,0,2,259,56,161,20,1,2,1,3,41,11,4,1,2,5,2,2,0,1,0,2,1,2,4,34,2,12,6,1,1,1,2,2,3,12,3,40,2,6,2,0,1,31,65,2,1,0,37,2,1,56,298,2,9,4,388,176,4,239,1,49,24,1,3,1,71,46,1,14,23,2,4,0,5,4,1,2,41,32,2,13,4,1,19,26,0,1,1,8,42,4,25,4,12,41,5,2,71,1,3,2,4,4,7,1,36,1,36,3,3,4,57,2,1,3,12,3,43,12,3,1,3,6,2,58,4,3,3,29,2,3,3,3,1,0,8,1,1,8,220,6,23,1,2,6,42,65,23,5,3,128,0,5,1,7,3,2,7,0,1,10,9,1,3,3,3,0,2,1,1,2,11,6,0,14,41,1,67,1,25,43,3,45,3,0,0,1,3,7,52,35,7,1,56,2,2,0,2,56,1,7,6,1,7,3,7,9,12,17,12,3,0,25,51,25,1,39,4,1,7,1,57,3,4,113,10,4,4,3,1,5,1,3,1,47,26,3,3,6,67,3,0,59,4,0,1,72,3,21,3,47,6,67,1,15,2,46,39,2,2,1,316,10,1,2,48,5,24,3,5,67,3,3,26,29,2,1,10,47,4,2,1,3,24,12,52,2,5,1,3,3,1,89,49,7,1,57,1,40,10,7,4,53,16,30,0,263,43,5,5,32,64,37,32
CST3,15,18,1,0,0,0,0,0,1,1,1,0,0,2,18,2,0,1,0,13,0,2,42,7,0,1,18,0,0,0,0,1,0,2,31,1,2,19,0,13,0,1,0,0,0,0,0,11,0,1,0,0,0,0,0,1,1,2,0,4,0,0,0,2,0,0,17,0,6,0,0,137,1,49,16,0,2,1,9,24,16,4,0,0,0,0,0,0,1,0,1,0,0,6,1,0,16,0,0,0,0,1,1,0,24,0,0,3,13,0,1,1,2,0,0,0,1,0,0,0,0,101,0,8,2,164,54,0,113,0,1,21,0,1,0,1,0,1,15,0,7,0,0,0,0,1,18,2,23,0,22,1,0,28,18,5,1,0,1,0,4,27,1,5,0,1,1,51,1,3,0,4,0,6,0,1,2,0,1,0,1,0,0,1,0,12,1,0,24,0,0,0,0,1,36,2,1,3,47,0,1,1,1,0,1,25,0,1,11,99,0,28,0,0,1,0,0,31,1,0,73,2,7,0,14,0,1,6,0,1,12,17,1,1,8,10,0,7,1,12,1,0,0,0,29,27,0,1,1,25,0,0,1,1,0,0,0,1,2,23,2,0,0,2,0,0,0,0,1,2,7,10,1,6,0,1,8,16,37,14,0,0,25,0,16,0,24,0,0,14,0,48,1,0,47,8,18,1,0,0,3,14,1,0,1,2,1,0,2,1,0,0,1,0,3,0,18,0,16,0,0,18,1,2,19,2,0,0,0,0,0,102,11,0,0,1,10,11,1,0,0,0,0,16,0,0,0,19,1,0,1,0,0,0,19,46,0,0,1,0,1,0,47,0,0,0,0,0,0,8,0,1,0,21,39,1,70,0,0,0,23,1,30,0
TYROBP,26,31,0,0,0,0,2,0,0,0,1,0,0,0,24,0,0,0,0,14,5,0,19,11,0,0,14,0,1,0,2,1,1,1,27,1,0,17,0,21,0,1,0,1,0,1,0,18,0,0,1,0,0,1,0,0,9,0,0,8,1,1,1,0,0,0,10,0,6,0,9,9,0,11,22,0,0,1,11,24,12,1,0,1,8,1,0,0,1,1,0,1,7,15,0,1,12,0,0,1,0,1,0,0,36,0,0,0,17,0,0,0,2,1,0,1,4,0,0,0,0,21,0,11,0,2,11,0,12,0,0,20,0,0,0,1,0,0,25,0,9,1,0,0,1,0,18,0,32,1,26,1,1,18,20,19,1,0,0,0,3,29,1,11,1,0,0,18,0,0,0,1,3,13,0,1,1,0,0,1,0,0,3,0,4,5,0,0,36,0,0,1,0,0,9,0,2,0,17,0,0,0,1,0,0,20,0,0,9,18,0,17,0,0,0,0,0,25,3,0,20,0,7,1,18,0,0,11,1,0,12,19,3,0,9,6,0,9,0,8,0,0,0,0,19,8,1,0,0,25,0,0,0,0,0,0,1,0,1,31,0,0,0,0,0,1,0,0,0,0,11,10,0,11,0,0,12,12,26,11,2,1,25,1,15,0,10,1,7,11,1,20,0,0,18,14,14,0,1,0,1,12,1,0,0,0,0,0,0,0,0,0,2,0,1,0,7,0,30,0,0,16,1,0,28,0,0,0,0,0,1,17,14,5,0,0,13,15,0,0,0,0,0,24,0,0,0,14,0,1,0,1,2,0,23,30,0,1,1,0,0,1,26,1,1,0,0,0,0,1,0,1,0,16,11,0,15,1,9,0,32,0,27,1
S100A4,33,81,6,2,6,7,0,24,0,20,1,0,2,25,36,2,1,13,0,24,13,2,43,12,15,0,17,1,16,2,7,4,1,1,31,5,2,31,0,25,4,1,2,1,2,14,1,18,2,0,0,1,5,4,11,3,10,0,1,7,21,4,3,8,7,30,9,10,10,4,2,27,1,40,17,1,2,3,19,42,21,8,3,1,4,5,5,1,1,2,7,0,12,20,0,1,30,21,1,2,6,1,0,2,38,2,0,56,28,5,3,1,1,0,1,0,5,1,3,2,2,55,3,10,34,46,77,1,59,1,0,16,2,7,0,2,0,0,20,0,14,5,2,1,4,1,34,0,28,0,17,1,0,23,36,31,1,1,3,1,7,27,4,11,3,24,8,28,3,3,3,8,2,14,0,0,27,0,4,4,5,0,3,11,2,18,7,1,38,12,1,0,10,4,37,14,3,23,32,1,5,0,2,1,3,16,0,2,11,57,2,46,8,2,9,1,0,16,5,1,40,13,6,2,11,12,1,13,3,2,23,30,0,13,11,11,1,14,3,23,15,0,2,2,28,20,6,0,0,42,0,7,0,7,0,1,5,6,11,29,2,6,1,2,11,11,2,12,1,5,3,17,17,13,4,5,21,30,42,10,3,1,42,0,22,7,25,5,6,20,10,27,25,4,61,8,17,0,1,1,11,16,5,4,0,1,0,9,15,1,6,0,0,4,0,8,6,11,24,7,1,27,0,5,17,2,0,1,0,1,1,43,14,3,27,0,19,22,1,1,1,5,8,30,0,2,14,18,0,5,1,1,7,2,22,27,9,0,3,3,2,12,26,0,8,19,1,0,2,9,1,1,0,22,31,0,37,1,7,7,28,0,23,0
NA.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,40,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,1,0,0,23,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,44,0,0,0,0,0,0,0,0,0,1,1,15,0,0,0,0,1,14,15,0,0,1,55,0,0,24,0,0,0,1,2,2,0,0,1,50,0,0,0,0,3,37,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,2,0,1,0,30,0,0,0,1,0,0,0,0,0,0,61,0,28,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,30,55,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,16,0,37,0,0,32,0,28,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,27,21,1,0,1,0,0,0,0,0,0,0,10,0,0,0,15,0,32,0,0,1,37,29,0,0,0,0,0,2,0,0,0,0,0,0,22,0,1,0,0,0,1,0,0,0,0,0,0,47,0,1,0,0,0,0,0,0,0,0,1,0,22,0,20,0,0,1,0,1,0,0,1,80,0,0,0,0,1,0
FTL,121,96,7,7,6,9,4,8,5,7,4,4,2,5,128,7,11,14,8,57,11,7,69,50,6,3,67,3,13,7,5,21,8,2,179,6,7,81,4,59,5,6,13,7,11,9,5,51,4,3,7,4,8,7,5,2,5,12,5,24,5,7,3,11,10,8,12,9,46,11,3,32,5,33,76,7,9,5,28,82,56,11,0,11,5,10,7,6,11,1,15,3,6,65,7,11,51,7,8,1,2,2,2,4,134,11,4,3,42,9,9,6,5,6,4,2,6,7,2,4,4,42,11,41,19,38,39,5,50,10,6,77,1,5,4,9,5,7,84,5,41,11,5,5,18,4,57,8,123,5,69,6,3,73,106,77,8,8,3,8,26,78,10,67,22,6,10,51,9,8,11,11,12,55,11,10,10,4,6,14,13,5,9,8,6,53,8,5,134,6,6,2,8,8,48,4,5,5,123,9,3,11,3,4,7,72,2,12,67,49,9,108,13,14,9,8,13,83,5,5,42,7,63,4,84,7,6,45,2,6,108,98,3,5,35,39,8,41,9,49,5,6,6,2,104,87,3,14,3,119,7,6,14,19,4,8,11,3,4,201,7,9,4,12,8,7,6,6,5,9,40,58,5,45,14,10,50,51,105,57,13,6,119,5,124,7,69,11,5,80,7,104,3,14,69,74,67,14,12,4,16,41,6,9,8,12,8,9,14,14,8,1,15,8,11,3,19,5,103,3,13,68,8,9,100,9,5,11,10,3,6,58,48,1,8,17,56,71,11,5,10,6,11,54,4,6,4,87,8,5,12,1,8,3,111,172,6,4,5,10,3,12,144,9,9,3,11,2,8,25,4,6,7,92,63,6,45,5,5,11,123,11,82,7
